datasource_id, expected_child_type, actual_child_type, S3_key, youtube_url
9FDC79CED3A74606B60A2E147E4E6F38, micro, not have, not have, not have
9FDC79CED3A74606B60A2E147E4E6F38, tiny, not have, not have, not have
9FDC79CED3A74606B60A2E147E4E6F38, small, not have, not have, not have
9FDC79CED3A74606B60A2E147E4E6F38, medium, not have, not have, not have
9FDC79CED3A74606B60A2E147E4E6F38, large, not have, not have, not have
9FDC79CED3A74606B60A2E147E4E6F38, extra, not have, not have, not have
2381F1F28DC645F185D361E53F7FF6A3, micro, not have, not have, not have
2381F1F28DC645F185D361E53F7FF6A3, tiny, not have, not have, not have
2381F1F28DC645F185D361E53F7FF6A3, small, not have, not have, not have
2381F1F28DC645F185D361E53F7FF6A3, medium, not have, not have, not have
2381F1F28DC645F185D361E53F7FF6A3, large, not have, not have, not have
2381F1F28DC645F185D361E53F7FF6A3, extra, not have, not have, not have
D2BE05C8F91B427BB4A5B7D0D7033D36, micro, not have, not have, not have
D2BE05C8F91B427BB4A5B7D0D7033D36, tiny, not have, not have, not have
D2BE05C8F91B427BB4A5B7D0D7033D36, small, not have, not have, not have
D2BE05C8F91B427BB4A5B7D0D7033D36, medium, not have, not have, not have
D2BE05C8F91B427BB4A5B7D0D7033D36, large, not have, not have, not have
D2BE05C8F91B427BB4A5B7D0D7033D36, extra, not have, not have, not have
1393FD3231964985907F2BE9F3495D15, micro, not have, not have, not have
1393FD3231964985907F2BE9F3495D15, tiny, not have, not have, not have
1393FD3231964985907F2BE9F3495D15, small, not have, not have, not have
1393FD3231964985907F2BE9F3495D15, medium, not have, not have, not have
1393FD3231964985907F2BE9F3495D15, large, not have, not have, not have
1393FD3231964985907F2BE9F3495D15, extra, not have, not have, not have
C84F2A1AFC9E4543A8BDDA095ABE258C, micro, not have, not have, not have
C84F2A1AFC9E4543A8BDDA095ABE258C, tiny, not have, not have, not have
C84F2A1AFC9E4543A8BDDA095ABE258C, small, not have, not have, not have
C84F2A1AFC9E4543A8BDDA095ABE258C, medium, not have, not have, not have
C84F2A1AFC9E4543A8BDDA095ABE258C, large, not have, not have, not have
C84F2A1AFC9E4543A8BDDA095ABE258C, extra, not have, not have, not have
A440D1CBE6BF45E59AAD10A6FD27CE56, micro, not have, not have, not have
A440D1CBE6BF45E59AAD10A6FD27CE56, tiny, not have, not have, not have
A440D1CBE6BF45E59AAD10A6FD27CE56, small, not have, not have, not have
A440D1CBE6BF45E59AAD10A6FD27CE56, medium, not have, not have, not have
A440D1CBE6BF45E59AAD10A6FD27CE56, large, not have, not have, not have
A440D1CBE6BF45E59AAD10A6FD27CE56, extra, not have, not have, not have
EE871741FD2F45FDA3E4576E513CB997, micro, not have, not have, not have
EE871741FD2F45FDA3E4576E513CB997, tiny, not have, not have, not have
EE871741FD2F45FDA3E4576E513CB997, small, not have, not have, not have
EE871741FD2F45FDA3E4576E513CB997, medium, not have, not have, not have
EE871741FD2F45FDA3E4576E513CB997, large, not have, not have, not have
EE871741FD2F45FDA3E4576E513CB997, extra, not have, not have, not have
5C548EF6B6DE45608893022393F5C593, micro, not have, not have, not have
5C548EF6B6DE45608893022393F5C593, tiny, not have, not have, not have
5C548EF6B6DE45608893022393F5C593, small, not have, not have, not have
5C548EF6B6DE45608893022393F5C593, medium, not have, not have, not have
5C548EF6B6DE45608893022393F5C593, large, not have, not have, not have
5C548EF6B6DE45608893022393F5C593, extra, not have, not have, not have
AF0B6941A1D740C0A1D5A1C4565E4BEF, micro, not have, not have, not have
AF0B6941A1D740C0A1D5A1C4565E4BEF, tiny, not have, not have, not have
AF0B6941A1D740C0A1D5A1C4565E4BEF, small, not have, not have, not have
AF0B6941A1D740C0A1D5A1C4565E4BEF, medium, not have, not have, not have
AF0B6941A1D740C0A1D5A1C4565E4BEF, large, not have, not have, not have
AF0B6941A1D740C0A1D5A1C4565E4BEF, extra, not have, not have, not have
7FF083C917D643B68CA33CA02681D6E0, micro, not have, not have, not have
7FF083C917D643B68CA33CA02681D6E0, tiny, not have, not have, not have
7FF083C917D643B68CA33CA02681D6E0, small, not have, not have, not have
7FF083C917D643B68CA33CA02681D6E0, medium, not have, not have, not have
7FF083C917D643B68CA33CA02681D6E0, large, not have, not have, not have
7FF083C917D643B68CA33CA02681D6E0, extra, not have, not have, not have
7034CC9EB7BF4E72A2A91AAA7CC541AA, micro, not have, not have, not have
7034CC9EB7BF4E72A2A91AAA7CC541AA, tiny, not have, not have, not have
7034CC9EB7BF4E72A2A91AAA7CC541AA, small, not have, not have, not have
7034CC9EB7BF4E72A2A91AAA7CC541AA, medium, not have, not have, not have
7034CC9EB7BF4E72A2A91AAA7CC541AA, large, not have, not have, not have
7034CC9EB7BF4E72A2A91AAA7CC541AA, extra, not have, not have, not have
70ED920A2F104C06A15D5CD0BA08C733, micro, not have, not have, not have
70ED920A2F104C06A15D5CD0BA08C733, tiny, not have, not have, not have
70ED920A2F104C06A15D5CD0BA08C733, small, not have, not have, not have
70ED920A2F104C06A15D5CD0BA08C733, medium, not have, not have, not have
70ED920A2F104C06A15D5CD0BA08C733, large, not have, not have, not have
70ED920A2F104C06A15D5CD0BA08C733, extra, not have, not have, not have
D2E59031BB424C098D827893EC4BD26F, micro, not have, not have, not have
D2E59031BB424C098D827893EC4BD26F, tiny, not have, not have, not have
D2E59031BB424C098D827893EC4BD26F, small, not have, not have, not have
D2E59031BB424C098D827893EC4BD26F, medium, not have, not have, not have
D2E59031BB424C098D827893EC4BD26F, large, not have, not have, not have
D2E59031BB424C098D827893EC4BD26F, extra, not have, not have, not have
777EE9E2F58B438C9C680FD3C76C4E87, micro, not have, not have, not have
777EE9E2F58B438C9C680FD3C76C4E87, tiny, not have, not have, not have
777EE9E2F58B438C9C680FD3C76C4E87, small, not have, not have, not have
777EE9E2F58B438C9C680FD3C76C4E87, medium, not have, not have, not have
777EE9E2F58B438C9C680FD3C76C4E87, large, not have, not have, not have
777EE9E2F58B438C9C680FD3C76C4E87, extra, not have, not have, not have
A18B88A333AE4A028EEA2A28C5EC788A, micro, not have, not have, not have
A18B88A333AE4A028EEA2A28C5EC788A, tiny, not have, not have, not have
A18B88A333AE4A028EEA2A28C5EC788A, small, not have, not have, not have
A18B88A333AE4A028EEA2A28C5EC788A, medium, not have, not have, not have
A18B88A333AE4A028EEA2A28C5EC788A, large, not have, not have, not have
A18B88A333AE4A028EEA2A28C5EC788A, extra, not have, not have, not have
49F7695F6DC44E84B64CC1F0A8D15DF2, micro, not have, not have, not have
49F7695F6DC44E84B64CC1F0A8D15DF2, tiny, not have, not have, not have
49F7695F6DC44E84B64CC1F0A8D15DF2, small, not have, not have, not have
49F7695F6DC44E84B64CC1F0A8D15DF2, medium, not have, not have, not have
